university_name;university_tlds
Pennsylvania State University;psu.edu
Ponce Health Sciences University;psm.edu
Portland State University;pdx.edu
Princeton University;princeton.edu
Purdue University;purdue.edu
Rensselaer Polytechnic Institute;rpi.edu
Rice University;rice.edu
Rochester Institute of Technology;rit.edu
Rockefeller University;rockefeller.edu
Rowan University;rowan.edu
Rutgers University;rutgers.edu
SUNY College of Environmental Science and Forestry;esf.edu
Saint Louis University;slu.edu
San Diego State University;sdsu.edu
Seton Hall University;shu.edu
South Dakota State University;sdstate.edu
Southern Illinois University;siue.edu,siu.edu,siumed.edu
Southern Methodist University;smu.edu
Stanford University;stanford.edu
Stevens Institute of Technology;stevens.edu
Stony Brook University;stonybrook.edu
Syracuse University;syracuse.edu
Temple University;temple.edu
Tennessee State University;tnstate.edu
Tennessee Technological University;tntech.edu
Texas A\&M University;tamu.edu
Texas A\&M UniversityCorpus Christi;tamucc.edu
Texas A\&M UniversityKingsville;tamuk.edu
Texas Christian University;tcu.edu
Texas Southern University;tsu.edu
Texas State University;txstate.edu
Texas Tech University;ttu.edu
The New School;newschool.edu
Thomas Jefferson University;jefferson.edu
Tufts University;tufts.edu
Tulane University;tulane.edu
University at Albany;albany.edu
University at Buffalo;buffalo.edu
University of Akron Main Campus;uakron.edu
University of Alabama;ua.edu
University of Alabama at Birmingham;uab.edu
University of Alabama in Huntsville;uah.edu
University of Alaska Fairbanks;uaf.edu
University of Arizona;arizona.edu
University of Arkansas;uark.edu
University of Arkansas at Little Rock;ualr.edu
University of California, Berkeley;berkeley.edu
University of California, Davis;ucdavis.edu
University of California, Irvine;uci.edu
University of California, Los Angeles;ucla.edu
University of California, Merced;ucmerced.edu
University of California, Riverside;ucr.edu
University of California, San Diego;ucsd.edu
University of California, Santa Barbara;ucsb.edu
University of California, Santa Cruz;ucsc.edu
University of Central Florida;ucf.edu
University of Chicago;uchicago.edu
University of Cincinnati;uc.edu
University of Colorado Boulder;colorado.edu
University of Colorado Colorado Springs;uccs.edu
University of Colorado Denver;ucdenver.edu
University of Connecticut;uconn.edu
University of Dayton;udayton.edu
University of Delaware;udel.edu
University of Denver;du.edu
University of Florida;ufl.edu
University of Georgia;uga.edu
University of Hawaii;hawaii.edu
University of Houston;uh.edu
University of Idaho;uidaho.edu
University of Illinois at Chicago;uic.edu
University of Illinois at UrbanaChampaign;illinois.edu
University of Iowa;uiowa.edu
University of Kansas;ku.edu
University of Kentucky;uky.edu
University of Louisiana at Lafayette;louisiana.edu
University of Louisville;louisville.edu
University of Maine;umaine.edu
University of Maryland, Baltimore County;umbc.edu
University of Maryland, College Park;umd.edu
University of Maryland, Eastern Shore;umes.edu
University of Massachusetts Amherst;umass.edu
University of Massachusetts Boston;umb.edu
University of Massachusetts Dartmouth;umassd.edu
University of Massachusetts Lowell;uml.edu
University of Memphis;memphis.edu
University of Miami;miami.edu
University of Michigan;umich.edu
University of Minnesota;umn.edu
University of Mississippi;olemiss.edu
University of Missouri;missouri.edu
University of MissouriKansas City;umkc.edu
University of MissouriSt. Louis;umsl.edu
University of Montana;umt.edu
University of Nebraska at Omaha;unomaha.edu
University of NebraskaLincoln;unl.edu
University of Nevada, Las Vegas;unlv.edu
University of Nevada, Reno;unr.edu
University of New England;une.edu
University of New Hampshire;unh.edu
University of New Mexico;unm.edu
University of New Orleans;uno.edu
University of North Carolina Wilmington;uncw.edu
University of North Carolina at Chapel Hill;unc.edu
University of North Carolina at Charlotte;uncc.edu
University of North Carolina at Greensboro;uncg.edu
University of North Dakota;und.edu
University of North Texas;unt.edu
University of Notre Dame;nd.edu
University of Oklahoma;ou.edu
University of Oregon;uoregon.edu
University of Pennsylvania;upenn.edu
University of Pittsburgh;pitt.edu
University of Puerto Rico;upr.edu
University of Rhode Island;uri.edu
University of Rochester;rochester.edu
University of San Diego;sandiego.edu
University of South Alabama;southalabama.edu
University of South Carolina;sc.edu
University of South Dakota;usd.edu
University of South Florida;usf.edu
University of Southern California;usc.edu
University of Southern Mississippi;usm.edu
University of Tennessee;utk.edu
University of Texas Rio Grande Valley;utrgv.edu
University of Texas at Arlington;uta.edu
University of Texas at Austin;utexas.edu
University of Texas at Dallas;utdallas.edu
University of Texas at El Paso;utep.edu
University of Texas at San Antonio;utsa.edu
University of Toledo;utoledo.edu
University of Tulsa;utulsa.edu
University of Utah;utah.edu
University of Vermont;uvm.edu
University of Virginia;virginia.edu
University of Washington;washington.edu
University of WisconsinMadison;wisc.edu
University of WisconsinMilwaukee;uwm.edu
University of Wyoming;uwyo.edu
Utah State University;usu.edu
Vanderbilt University;vanderbilt.edu
Villanova University;villanova.edu
Virginia Commonwealth University;vcu.edu
Virginia Polytechnic Institute and State University;vt.edu
Wake Forest University;wfu.edu
Washington State University;wsu.edu
Washington University in St. Louis;wustl.edu
Wayne State University;wayne.edu
West Virginia University;wvu.edu
Western Michigan University;wmich.edu
Wichita State University;wichita.edu
Worcester Polytechnic Institute;wpi.edu
Wright State University;wright.edu
Yale University;yale.edu
Yeshiva University;yu.edu
